count,channel_1,channel_2,channel_3,channel_4,acc_x,acc_y,acc_z,resistance_1,resistance_2,resistance_3,resistance_4,resistance_5,timestamp,marker,class
192.0,-937.002015,-318.166379,-837.311241,-252.566664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.223276,0.0,eyes_blink
192.0,-925.6028,-331.869372,-854.54844,-252.394628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.223299,0.0,eyes_blink
193.0,-923.654312,-349.375844,-869.062992,-258.984332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.223758,0.0,eyes_blink
193.0,-925.494343,-321.752943,-836.783916,-248.624809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.223768,0.0,eyes_blink
194.0,-923.370079,-307.171073,-830.938452,-247.667395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.252988,0.0,eyes_blink
194.0,-917.068348,-332.004009,-854.840153,-253.411881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.253011,0.0,eyes_blink
195.0,-919.117813,-332.32938,-859.948856,-244.873689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.253238,0.0,eyes_blink
195.0,-916.26053,-312.919299,-832.187579,-245.801185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.253272,0.0,eyes_blink
196.0,-938.318459,-311.071789,-835.706824,-269.269057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.253756,0.0,eyes_blink
196.0,-928.59472,-326.375459,-851.081553,-262.43626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.253766,0.0,eyes_blink
197.0,-916.271749,-328.623139,-852.405478,-251.95332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.283007,0.0,eyes_blink
197.0,-890.08497,-294.148741,-811.446093,-222.359492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.283031,0.0,eyes_blink
198.0,-940.308086,-305.4208,-827.191072,-248.306918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.283256,0.0,eyes_blink
198.0,-924.46213,-324.722424,-849.723969,-257.017145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.283276,0.0,eyes_blink
199.0,-936.620545,-339.592266,-860.700576,-254.159861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.283737,0.0,eyes_blink
199.0,-920.060268,-315.361454,-831.405939,-245.030765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.283759,0.0,eyes_blink
200.0,-924.933358,-316.782616,-846.410418,-257.308857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.313023,0.0,eyes_blink
200.0,-915.710764,-334.689257,-861.990841,-258.513105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.313045,0.0,eyes_blink
0.0,-948.569525,-372.950303,-903.198929,-284.004263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.313277,0.0,eyes_blink
101.0,-975.908194,-359.864393,-886.242223,-291.745856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.313775,0.0,eyes_blink
101.0,-970.694773,-348.510057,-880.572534,-291.454143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.313798,0.0,eyes_blink
102.0,-965.182161,-364.019422,-893.665924,-292.164724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.314557,0.0,eyes_blink
102.0,-965.141022,-382.846079,-908.902276,-284.295975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.314577,0.0,eyes_blink
103.0,-941.68063,-354.082508,-878.650226,-274.482477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.343001,0.0,eyes_blink
103.0,-983.234658,-355.335375,-882.348987,-298.552474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.343021,0.0,eyes_blink
104.0,-986.1443,-379.375452,-906.572319,-304.775667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.34325,0.0,eyes_blink
104.0,-952.036413,-384.992781,-911.729641,-283.74621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.343273,0.0,eyes_blink
105.0,-977.471472,-363.047048,-880.452857,-280.900146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.372542,0.0,eyes_blink
105.0,-968.447094,-350.118214,-878.717544,-288.944671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.372563,0.0,eyes_blink
106.0,-955.144269,-365.59018,-889.050887,-287.703024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.372967,0.0,eyes_blink
106.0,-951.258513,-372.445417,-898.572673,-276.416006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.37298,0.0,eyes_blink
107.0,-962.95692,-347.612481,-871.308802,-280.428918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.373891,0.0,eyes_blink
107.0,-972.426347,-338.846156,-869.562269,-282.762616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.373906,0.0,eyes_blink
108.0,-952.679675,-359.079014,-897.379645,-287.983516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.374259,0.0,eyes_blink
108.0,-958.577498,-375.856206,-907.387617,-285.881693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.374272,0.0,eyes_blink
109.0,-949.788733,-353.615021,-873.189972,-273.012697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.402895,0.0,eyes_blink
109.0,-960.413788,-346.991658,-875.291795,-288.424824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.402913,0.0,eyes_blink
110.0,-979.442399,-360.025209,-898.759668,-283.181485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.403151,0.0,eyes_blink
110.0,-997.681891,-383.792273,-917.971534,-291.532681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.403175,0.0,eyes_blink
111.0,-981.364708,-357.295082,-884.536828,-276.872274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.432539,0.0,eyes_blink
111.0,-975.758598,-346.943039,-886.470356,-291.409265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.432553,0.0,eyes_blink
112.0,-970.167448,-360.795629,-892.888025,-289.109226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.433208,0.0,eyes_blink
112.0,-970.036551,-361.977437,-894.305447,-278.648726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.433221,0.0,eyes_blink
113.0,-970.279645,-347.021577,-879.22991,-280.567295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.434281,0.0,eyes_blink
113.0,-940.753134,-337.832643,-875.50497,-286.854067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.434321,0.0,eyes_blink
114.0,-967.81505,-356.068395,-892.054027,-287.998476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.434508,0.0,eyes_blink
114.0,-987.079275,-371.19629,-907.032326,-283.895806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.434543,0.0,eyes_blink
115.0,-982.41188,-354.217145,-882.509802,-280.241923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.463075,0.0,eyes_blink
115.0,-961.666655,-342.731912,-879.562761,-282.766356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.463084,0.0,eyes_blink
116.0,-990.280629,-360.287002,-891.896951,-294.909811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.46336,0.0,eyes_blink
116.0,-973.391241,-377.699976,-912.5225,-290.133959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.463367,0.0,eyes_blink
117.0,-967.680414,-352.006864,-878.231357,-281.453651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.523025,0.0,eyes_blink
117.0,-976.81699,-342.80671,-874.966424,-289.071827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.523042,0.0,eyes_blink
118.0,-956.161522,-350.178053,-885.382046,-283.592874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.523321,0.0,eyes_blink
