0.000000,-859.679583,-170.350573,-719.560491,-115.979907,0.000000.1,0.000000.2,0.000000.3,0.000000.4,0.000000.5,0.000000.6,0.000000.7,0.000000.8,1704023132.520409,0.000000.9,-875.491880,-204.866110,-747.078675,-137.888241,1704023231.460497,class
145.0,-833.691018,-158.016383,-693.598106,-93.267495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.970485,0.0,,,,,,eyes_closed_movement
146.0,-823.686786,-149.459492,-688.253789,-100.526641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.985287,0.0,,,,,,eyes_closed_movement
146.0,-814.161261,-152.268157,-697.162231,-93.005702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.985306,0.0,,,,,,eyes_closed_movement
147.0,-826.420653,-166.161885,-708.307132,-93.278715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.000344,0.0,,,,,,eyes_closed_movement
147.0,-843.833627,-162.60524,-695.281061,-95.212243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.000353,0.0,,,,,,eyes_closed_movement
148.0,-836.888633,-155.424632,-697.18093,-109.446302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.00061,0.0,,,,,,eyes_closed_movement
148.0,-846.907825,-167.82988,-705.330172,-109.341585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.000618,0.0,,,,,,eyes_closed_movement
149.0,-813.461899,-167.08564,-708.41559,-92.175444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.015411,0.0,,,,,,eyes_closed_movement
149.0,-826.256097,-153.794036,-689.267302,-90.398992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.01542,0.0,,,,,,eyes_closed_movement
150.0,-855.909764,-156.019276,-697.588579,-113.384417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.030362,0.0,,,,,,eyes_closed_movement
150.0,-843.799968,-171.341647,-712.637937,-116.608211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.03038,0.0,,,,,,eyes_closed_movement
151.0,-856.025701,-182.206056,-723.36397,-108.260754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.030613,0.0,,,,,,eyes_closed_movement
151.0,-850.845939,-161.711404,-702.218575,-92.497076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.030627,0.0,,,,,,eyes_closed_movement
152.0,-857.009295,-161.415952,-705.057159,-113.668649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.045185,0.0,,,,,,eyes_closed_movement
152.0,-839.435505,-170.761962,-712.49208,-110.388757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.045194,0.0,,,,,,eyes_closed_movement
153.0,-822.213265,-174.778615,-718.48714,-114.278253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.06034,0.0,,,,,,eyes_closed_movement
153.0,-837.898406,-159.665679,-694.981869,-87.84838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.060357,0.0,,,,,,eyes_closed_movement
154.0,-850.367232,-162.377106,-701.29108,-108.556206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.06063,0.0,,,,,,eyes_closed_movement
154.0,-829.917459,-166.247903,-710.225701,-109.794113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.060638,0.0,,,,,,eyes_closed_movement
155.0,-807.511719,-170.881639,-713.505593,-97.478622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.075288,0.0,,,,,,eyes_closed_movement
155.0,-828.571095,-161.745063,-697.93265,-98.129365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.075297,0.0,,,,,,eyes_closed_movement
156.0,-857.805893,-160.810088,-704.780407,-109.450042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023133.090261,0.0,,,,,,eyes_closed_movement
